English Question,Tamil Question,Tamil Answer
What is the nature of a verb in Tamil grammar?,இலக்கணம் வினைச்சொல் பற்றிய தன்மை என்ன?,ஒரு பொருளின் செயலைக் குறிக்கும்
What is the Vinai suffix?,வினைச்சொல் வேற்றுமை என்றால் என்ன?,பொருள் முடிவுபெறாத வினைச்சொல்
What is the Possessive suffix?,வினைச்சொல் வேற்றுமை என்றால் என்ன?,"ஓர் எச்ச வினை, பெயரைக் கொண்டு முடியும்"
,,
,,
How many types of nouns are there in Tamil grammar?,தமிழ் இலக்கணத்தில் எத்தனை வகைகள் உள்ளன?,இரண்டு (2) வகைப்படும்
What are the types of Tamil nouns?,தமிழ் பெயர்ச்சொல் வகைகள் என்ன?,"திணை, எண்"
What are the two categories of Dhinai in Tamil grammar?,திணையின் இரண்டு வகை என்ன?,"உயர்திணை, அஃறிணை"
What is the difference between Uyarthinai and Aharthinai?,உயர்திணையும் அஃறிணையும் என்ன வேறுபாடு உள்ளன?,"உயர்திணை - உயிர் உள்ள பொருள்கள், அஃறிணை - உயிர் இல்லாத பொருள்கள்"
What are the types of numbers in Tamil?,தமிழில் எத்தனை வகையான எண்கள் உள்ளன?,இரண்டு (2) வகைப்படும்
What are the two types of Pal in Tamil?,தமிழில் பாலின் இரண்டு வகை என்ன?,"ஆண்பால், பெண்பால்"
What is Maryadaipanmai in Tamil grammar?,தமிழ் இலக்கணத்தில் மரியாதைப் பன்மை என்ன?,பெரியோர்களில் ஒருவரை ஒருமையில் குறிப்பிடுவது இல்லை. அவர்களை மதிப்பாகக் கூறுவதற்காகப் பன்மையில் குறிப்பிடுவதை மரியாதைப் பன்மை என்று கூறுவர்.
What are the types of Idam in Tamil?,தமிழில் இடம் எத்தனை வகை?,மூன்று (3) வகைப்படும்
What are the three types of Tanmai in Tamil grammar?,தமிழ் இலக்கணத்தில் தன்மை வகை மூன்று என்ன?,"தன்மை, முன்னிலை, படர்க்கை"
,,
What are some acclaimed books and their authors here?,என்னைப் பெற்ற புகழபெற்ற நூல்கள் மற்றும் அவற்றின் ஆசிரியர்கள் என்ன தெரியுமா?,சிலப்பதிகாரம் – இளங்கோவடிகள் மணிமேகலை – சீத்தலைச் சாத்தனார்; சீவக சிந்தாமணி – திருத்தக்க தேவர் வளையாபதி; குண்டலகேசி – நாதகுத்தனார் ...
What are some important general Tamil references?,சில முக்கியமான பொது தமிழ் குறிப்புகள் என்ன?,ஐம்பெருங்காப்பியங்கள்; ஐஞ்சிறுங்காப்பியங்கள்
What are the Five Great Epics?,ஐம்பெருங்காப்பியங்கள் என்றால் என்ன?,"சிலப்பதிகாரம், சீவக சிந்தாமணி, குண்டலகேசி, யசோதர காவியம், நந்திக்கலம்பகம்"
What are the Five Lesser Epics?,ஐஞ்சிறுங்காப்பியங்கள் என்றால் என்ன?,"யசோதர காவியம், உதயணகுமார காவியம், நீலகேசி, சூளாமணி, சீவகசிந்தாமணி நரிவிருத்தம்"
What are some other important Tamil works and authors?,பிற முக்கியமான தமிழ் படைப்புகள் மற்றும் ஆசிரியர்கள் என்ன?,"கம்பராமாயணம், கம்பர் பெரியபுராணம், கச்சியப்ப சிவாச்சாரியார், வாமன முனிவர், பிங்கல முனிவர், நக்கீரர், வெண்ணாவலுடையார், ஆசிரியர்..."
What are the five minor epics in Tamil literature?,தமிழ் இலக்கியத்தில் ஐந்து சிறு காப்பியங்கள் யாவை?,"ஐந்து சிறு காப்பியங்கள்: யசோதர காவியம், உதயணகுமார காவியம், நாககுமார காவியம், சூளாமணி, நீலகேசி"
"Who wrote the ""Yasothara Kaviyam""?",யசோதர காவியத்தை யார் எழுதினார்?,யசோதர காவியத்தை வெண்ணாவலுடையார் எழுதினார்.
"Who is the author of ""Silapathikaram""?",சிலப்பதிகாரத்தை யார் எழுதினார்?,சிலப்பதிகாரத்தை இளங்கோ அடிகள் எழுதினார்.
"What is the significance of ""Thirukkural""?",திருக்குறளின் முக்கியத்துவம் என்ன?,"திருக்குறள் தமிழ் இலக்கியத்தின் மணிமுத்தாரம் ஆகும். இது நீதி, அறநெறி, வாழ்க்கை முறை பற்றிய பாடல்களைக் கொண்டுள்ளது."
"What are the themes explored in the ""Ainkurunuru""?",ஐங்குறுநூற்றில் ஆராயப்பட்ட கருப்பொருள்கள் யாவை?,ஐங்குறுநூறு ஐந்து திணைகளின் அடிப்படையில் அமைந்துள்ளது. ஒவ்வொரு திணையும் ஒரு குறிப்பிட்ட காதல் நிலையைக் குறிக்கிறது.
"Who wrote the ""Kurucol""?",குறுகோளை யார் எழுதினார்?,குறுகோளை கபிலர் எழுதினார்.
"What is the importance of ""Naanmozhi""?",நான்மொழியின் முக்கியத்துவம் என்ன?,"நான்மொழி தமிழ் இலக்கியத்தின் மிக முக்கியமான படைப்புகளில் ஒன்றாகும். இது அறநெறி, நீதி, வாழ்க்கை முறை பற்றிய பாடல்களைக் கொண்டுள்ளது."
"Who wrote the ""Thiruvarutpa""?",திருவருட்பாவை யார் எழுதினார்?,வள்ளலார் இராமலிங்க அடிகளார்
"What is the significance of the ""Naanmozhi""?",நான்மொழியின் முக்கியத்துவம் என்ன?,"நான்மொழி தமிழ் இலக்கியத்தின் மிக முக்கியமான படைப்புகளில் ஒன்றாகும். இது அறநெறி, நீதி, வாழ்க்கை முறை பற்றிய பாடல்களைக் கொண்டுள்ளது."
"Who wrote the ""Kandar Puranam""?",கந்த புராணத்தை யார் எழுதினார்?,கச்சியப்ப சிவாச்சாரியார்
"What is the theme of the ""Silapathikaram""?",சிலப்பதிகாரத்தின் கருப்பொருள் என்ன?,"சிலப்பதிகாரம் காதல், அறநெறி, வீரம் ஆகிய கருப்பொருள்களை மையமாகக் கொண்டது."
"Who wrote the ""Ainkurunuru""?",ஐங்குறுநூற்றை யார் எழுதினார்?,"ஐங்குறுநூற்றை பல புலவர்கள் எழுதினர். இதில் கபிலர், பெயனார், ஓரம்போகியார், அம்மூவனார், ஓதலாந்தையார் ஆகியோரின் பாடல்கள் அடங்கும்."
"What is the importance of the ""Thirukkural""?",திருக்குறளின் முக்கியத்துவம் என்ன?,"திருக்குறள் தமிழ் இலக்கியத்தின் மணிமுத்தாரம் ஆகும். இது நீதி, அறநெறி, வாழ்க்கை முறை பற்றிய பாடல்களைக் கொண்டுள்ளது."
"Who wrote ""Akal Vilakku""?","""அகல் விளக்கு"" யார் எழுதினார்?","""அகல் விளக்கு"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Peru Manasam""?","""பெற்ற மனம்"" யார் எழுதினார்?","""பெற்ற மனம்"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Kallo Kavியamo""?","""கள்ளோ காவியமோ"" யார் எழுதினார்?","""கள்ளோ காவியமோ"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Karithundu""?","""கரித்துண்டு"" யார் எழுதினார்?","""கரித்துண்டு"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Nenjil Oru Mul""?","""நெஞ்சில் ஒரு முள்"" யார் எழுதினார்?","""நெஞ்சில் ஒரு முள்"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Thambikku""?","""தம்பிக்கு"" யார் எழுதினார்?","""தம்பிக்கு"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Tamil Ilakkiya Varalaru""?","""தமிழ் இலக்கிய வரலாறு"" யார் எழுதினார்?","""தமிழ் இலக்கிய வரலாறு"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Kayamai""?","""கயமை"" யார் எழுதினார்?","""கயமை"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Pavai""?","""பாவை"" யார் எழுதினார்?","""பாவை"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Vada Malar""?","""வாடா மலர்"" யார் எழுதினார்?","""வாடா மலர்"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Senthamarai""?","""செந்தாமரை"" யார் எழுதினார்?","""செந்தாமரை"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Mankudisai""?","""மண்குடிசை"" யார் எழுதினார்?","""மண்குடிசை"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Kurattai Oli""?","""குறட்டை ஒலி"" யார் எழுதினார்?","""குறட்டை ஒலி"" மு. வரதராசனார் எழுதினார்."
"Who wrote ""Pudutha""?","""புத்ர"" யார் எழுதினார்?","""புத்ர"" லா. சு. ராமாமிர்தம் எழுதினார்."
"Who wrote ""Abitha""?","""அபிதா"" யார் எழுதினார்?","""அபிதா"" லா. சு. ராமாமிர்தம் எழுதினார்."
"Who wrote ""Kurinchi Malar""?","""குறிஞ்சி மலர்"" யார் எழுதினார்?","""குறிஞ்சி மலர்"" நா. பார்த்தசாரதி எழுதினார்."
"Who wrote ""Samudhaya Vidi""?","""சமுதாய வீதி"" யார் எழுதினார்?","""சமுதாய வீதி"" நா. பார்த்தசாரதி எழுதினார்."
"Who wrote ""Thulasi Madam""?","""துளசி மாடம்"" யார் எழுதினார்?","""துளசி மாடம்"" நா. பார்த்தசாரதி எழுதினார்."
"Who wrote ""Pon Vilanghu""?","""பொன் விலங்கு"" யார் எழுதினார்?","""பொன் விலங்கு"" நா. பார்த்தசாரதி எழுதினார்."
What is the first book in the list?,பட்டியலில் உள்ள முதல் புத்தகம் எது?,கரைந்த நிழல்கள் (Karaintha Nizhalkal)
"Who wrote the novel ""Rangon Radha""?","""ரங்கோன் ராதா"" என்ற நாவலை எழுதியவர் யார்?",சாரு நிவேதிதா (Charu Niveditha)
"What genre is ""Tholkaappiya Poonga""?","""'தொல்காப்பியப் பூங்கா' எந்த வகையைச் சார்ந்தது?",இலக்கிய விமர்சனம் (Ilakkiya Vimarsanam)
Which book is written by Kalki?,"""கல்கி எழுதிய புத்தகம் எது?",பொன்னர் சங்கர் (Ponnar Shankar) அல்லது தென்பாண்டிச் சிங்கம் (Thenpandi Singam)
What are the names of the novels by Jayakanthan?,"""ஜெயகாந்தன் எழுதிய நாவல்களின் பெயர்கள் என்ன?",இரத்தம் ஒரே நிறம் (Ratham Ore Nிறம்) மற்றும் வெள்ளிக்கிழமை (Velli Kizhamai)
"What is the genre of ""Santhathamizh""?","""'சங்கத்தமிழ்' எந்த வகையைச் சார்ந்தது?",வரலாற்று நாவல் (Varalaattru Navel)
"Who wrote the novel ""Poompugaar""?","""'பூம்புகார்' என்ற நாவலை எழுதியவர் யார்?",கலைஞர் கருணாநிதி (Kalaignar Karunanidhi)
"What is the genre of ""Manthirikumaari""?","""'மந்திரிகுமாரி' எந்த வகையைச் சார்ந்தது?",கற்பனை நாவல் (Kalpanai Navel)
"What is the genre of ""Arthamulla Hindu Madham""?","""'அர்த்தமுள்ள இந்துமதம்' எந்த வகையைச் சார்ந்தது?",மத நூல் (Matha Nool)
"Who wrote the epic poem ""Kallakudi Mahakaviyam""?","""'கல்லக்குடி மாகாவியம்' என்ற காப்பியத்தை எழுதியவர் யார்?",கண்ணதாசன் (Kannadasan)
"What is the genre of ""Ayiramdi""?","""'ஆயிரம்தீவு' எந்த வகையைச் சார்ந்தது?",சிறுகதைத் தொகுப்பு (Sirukathaith Thoguppu)
"Who wrote the novel ""Angaeyarkannni""?","""'அங்கையற்கண்ணி' என்ற நாவலை எழுதியவர் யார்?",கண்ணதாசன் (Kannadasan)
"What is the genre of ""Velangudi Thiruvizha""?","""'வேலங்குடித் திருவிழா' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the novel ""Aattanaththi Aathimanthi""?","""'ஆட்டனத்திஆதிமந்தி' என்ற நாவலை எழுதியவர் யார்?",கண்ணதாசன் (Kannadasan)
"What is the genre of ""Maangani""?","""'மாங்கனி' எந்த வகையைச் சார்ந்தது?",கவிதைத் தொகுப்பு (Kavidhai Thoguppu)
"Who wrote the epic poem ""Yesu Kaviyam""?","""'இயேசு காவியம்' என்ற காப்பியத்தை எழுதியவர் யார்?",கண்ணதாசன் (Kannadasan)
"What is the genre of ""Cheramaan Kaathali""?","""'சேரமான் காதலி' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the novel ""Vanavaasam Manavaasam""?","""'வனவாசம் மனவாசம்' என்ற நாவலை எழுதியவர் யார்?",கண்ணதாசன் (Kannadasan)
"What is the genre of ""Mullum Malarum""?","""'முள்ளும் மலரும்' எந்த வகையைச் சார்ந்தது?",கவிதைத் தொகுப்பு (Kavid
What is the first book in the list?,பட்டியலில் உள்ள முதல் புத்தகம் எது?,மதங்க சூளாமணி (Matanga Choolamani)
"Who wrote the book ""Yaazhnool""?","""'யாழ்நூல்' என்ற புத்தகத்தை எழுதியவர் யார்?",சுவாமி விபுலாநந்தர் (Swami Vipulananda)
"What is the genre of ""Vyaasar Virundu""?","""'வியாசர் விருந்து' எந்த வகையைச் சார்ந்தது?",கட்டுரைத் தொகுப்பு (Katturai Thoguppu)
"Who wrote the novel ""Chakravarthi Thirumigalai""?","""'சக்கரவர்த்தி திருமகள்' என்ற நாவலை எழுதியவர் யார்?",இராஜாஜி (Rajaji)
"What is the genre of ""Sabesan""?","""'சபேசன்' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the poem ""Thiruvandaathi""?","""'திருவந்தாதி' என்ற கவிதையை எழுதியவர் யார்?",நம்பியாண்டார் நம்பி (Nambiyandar Nambi)
"What is the genre of ""Ezhuloviyam""?","""'எழிலோவியம்' எந்த வகையைச் சார்ந்தது?",சிறுகதைத் தொகுப்பு (Sirukathaith Thoguppu)
"Who wrote the poem ""Kuzhandhai Ilakkiyam""?","""'குழந்தை இலக்கியம்' என்ற கவிதையை எழுதியவர் யார்?",வாணிதாசன் (Vanithaasan)
"What is the genre of ""Thamizhachi""?","""'தமிழச்சி' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the poem ""Todu Vanam""?","""'தொடு வானம்' என்ற கவிதையை எழுதியவர் யார்?",வாணிதாசன் (Vanithaasan)
"What is the genre of ""Malarum Ulam""?","""'மலரும் உள்ளம்' எந்த வகையைச் சார்ந்தது?",கவிதைத் தொகுப்பு (Kavidhai Thoguppu)
"Who wrote the poem ""Sirikum Pookkal""?","""'சிரிக்கும் பூக்கள்' என்ற கவிதையை எழுதியவர் யார்?",வாணிதாசன் (Vanithaasan)
"What is the genre of ""Nerum Kuzhandhaigalum""?","""'நேருவும் குழந்தைகளும்' எந்த வகையைச் சார்ந்தது?",சிறுவர் இலக்கியம் (Siruvar Ilakkiyam)
"Who wrote the novel ""Karamundaar Veedu""?","""'கரமுண்டார் வீடு' என்ற நாவலை எழுதியவர் யார்?",தஞ்சை பிரகாஷ் (Thanjai Prakash)
"What is the genre of ""Kaadu""?","""'காடு' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the novel ""Pinthodarum Nizhalin Kural""?","""'பின்தொடரும் நிழலின் குரல்' என்ற நாவலை எழுதியவர் யார்?",ஜெயமோகன் (Jeyamohan)
"What is the genre of ""Kanyakumari""?","""'கன்னியாகுமரி' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the novel ""Ezhaavathu Ulagam""?","""'ஏழாவது உலகம்' என்ற நாவலை எழுதியவர் யார்?",ஜெயமோகன் (Jeyamohan)
"What is the genre of ""Man""?","""'மண்' எந்த வகையைச் சார்ந்தது?",நாவல் (Navel)
"Who wrote the novel ""Vishnupuram""?","""'விஷ்ணுபுரம்' என்ற நாவலை எழுதியவர் யார்?",ஜெயமோகன் (Jeyamohan)
What is the epithet of Agathiyar?,அகத்தியரின் அடைமொழி என்ன?,குறுமுனிஇளம்பூரணர் (Kurumuni Ilambhooranan)
What is the epithet of Nachchinarkiniyar?,நாச்சினார்க்கினியரின் அடைமொழி என்ன?,"உச்சிமேற்கொள் புலவர், உரைகளில் உரை கண்டவர் (Ucchi Meekkol Pulavar, Uraiyil Urai Kandaavar)"
What are the epithets of Kapilar?,கபிலரின் அடைமொழிகள் என்னென்ன?,"புலனழுக்கற்ற அந்தணாளன், நல்லிசைக் கபிலன், பொய்யா நாவின் கபிலர் (Pulanazhukkaratthanthan, Nallisaik Kapilan, Poyya Naavin Kapilan)"
What are the epithets of Thiruvalluvar?,திருவள்ளுவரின் அடைமொழிகள் என்னென்ன?,"முதற்பாவலர், பெருநாவலர், தெய்வப் புலவர், செந்நாப்போதார், நாயனார், மாதானுபங்கி, தேவர், நான்முகனார், பொய்யில்புலவர் (Mudharpaavalir, Perunavaalar, Theivap Pulavar, Sennaappodaar, Nayanar, Maathanubhangi, Devar, Naanmukanaar, Poyyilpulavar)"
What are the epithets of Thirugnanasambandar?,திருஞானசம்பந்தரின் அடைமொழிகள் என்னென்ன?,"தோடுடைய செவியன், காழி வள்ளல், தோணிபுரத் தென்றல், திராவிட சிசு, ஆளுடைய பிள்ளை (Thodudaiya Seviyan, Kaazhi Vallal, Thonippura Thendral, Dravida Sisum, Aaluudaiya Pillai)"
What are the epithets of Tirunavukkarasar?,திருநாவுக்கரசரின் அடைமொழிகள் என்னென்ன?,"அப்பர், தாண்டக வேந்தர், வாகீசர், மருள் நீக்கியார், தேசம் உய்ய வந்தவர் (Appar, Thandaka Vendhar, Vaakeesar, Marul Neekkiyaar, Desam Uiyya Vanthavar)"
What are the epithets of Sundarar?,சுந்தரரின் அடைமொழிகள் என்னென்ன?,"வன் தொண்டர், தம்பிரான் தோழர், நாவலூரார் (Van Thondar, Thambiran Thozar, Navalooraar)"
What is the epithet of Manikkavasagar?,மாணிக்கவாசகரின் அடைமொழி என்ன?,அழுது அடியடைந்த அன்பர் (Azhudhu Adiyaadaintha Anbar)
What are the epithets of Sekkizhaar?,சேக்கிழாரின் அடைமொழிகள் என்னென்ன?,"அருண்மொழித்தேவர், உத்தமசோழ பல்லவராயன், தெய்வச் சேக்கிழார், தொண்டர் சீர் பரவுவார் (Arunmozhi Thevar, Uttamachola Pallavarayan, Theivasekkihaar, Thondar Seer Paravaar)"
What are the epithets of Periyaazhvaar?,பெரியாழ்வாரின் அடைமொழிகள் என்னென்ன?,"பட்டர் பிரான், வேயர்கோன், விஷ்ணுசித்தர் (Pattar Pran, Veyarkoon, Vishnuchittar)"
What are the epithets of Andal?,ஆண்டாளின் அடைமொழிகள் என்னென்ன?,"சூடிக்கொடுத்த நாச்சியார், வைணவம் தந்த செல்வி, கோதை (Soodikoduththa Naachiyaar, Vaishnava"
What is the epithet of Kamban?,கம்பரின் அடைமொழி என்ன?,"கவிச்சக்கரவர்த்தி, கல்வியில் பெரியவர் (Kavi Chakkravarthi, Kalviyil Periyavar)"
What is the epithet of Seethalai Saathanar?,சீத்தலைச் சாத்தனாரின் அடைமொழி என்ன?,தண்டமிழாசான் (Tandamizhaan)
What is the epithet of Sathanur Nannur Pulavar?,சாத்தன் நன்னூற் புலவரின் அடைமொழி என்ன?,நன்னூற் புலவன் (Nannootr Pulavan)
What is the epithet of Tiruththakka Thevar?,திருத்தக்கத் தேவரின் அடைமொழி என்ன?,தமிழ்ப் புலவர்களுள் இளவரசர் (Tamil Pulavargalil Ilayarasan)
What is the epithet of Pukalendi?,புகழேந்தியின் அடைமொழி என்ன?,வெண்பாவிற் புகழேந்தி (Venpaavir Pukalendi)
What is the epithet of Meenakshi Sundaram Pillai?,மீனாட்சி சுந்தரம் பிள்ளையின் அடைமொழி என்ன?,மகாவித்வான் (Mahavidhwan)
What are the epithets of Trikooda Rajaappa Kavirayar?,திரிகூட ராசப்பக் கவிராயரின் அடைமொழிகள் என்னென்ன?,"திருக்குற்றால நாதர், கோயில் வித்வான் (Thirukkural Naadhar, Koyil Vidhwan)"
What is the epithet of Mayooram Vedhanayagam Pillai?,மாயூரம் வேதநாயகம் பிள்ளையின் அடைமொழி என்ன?,நீதியரசர் (Neethiyaraasar)
What are the epithets of Pillai Perumal Aiyangar?,பிள்ளைப் பெருமாள் ஐயங்காரின் அடைமொழிகள் என்னென்ன?,"அழகிய மணவாளதாசர், திவ்வியக்கவி, தெய்வக்கவிஞர் (Azhakiya Manavaaladasar, Thivyakavi, Theivakaviyinar)"
What are the epithets of Ramalinga Adigalar?,இராமலிங்க அடிகளாரின் அடைமொழிகள் என்னென்ன?,"வள்ளலார், அருட்பிரகாசர், ஓதாது உணர்ந்த பெருமாள் (Vallarar, Arutprakashar, Othaadhu Unarntha Perumaal)"
What are the epithets of Sanmarkavi?,சன்மார்க்க கவியின் அடைமொழிகள் என்னென்ன?,"வடலூரார், இறையருள் பெற்றதிருக்குழந்தை (Vadalurar, Iyararul Perra Thirukkulanthai)"
What are the epithets of Bharathidasan?,பாரதிதாசனின் அடைமொழிகள் என்னென்ன?,"புரட்சிக் கவிஞர், பாவேந்தர், புதுமைக் கவிஞர் (Puratchik Kaviyar, Paavendar, Pudhumaik Kaviyar)"
What are the epithets of Ilanchuriyar and Muthuchuriyar?,இளஞ்சூரியர் மற்றும் முதுசூரியரின் அடைமொழிகள் என்னென்ன?,"இளஞ்சூரியர், முதுசூரியர் (Ilanchuriyar, Muthuchuriyar)"
What are the epithets of U.V. Swaminatha Iyer?,உ.வே. சாமிநாதய்யரின் அடைமொழிகள் என்னென்ன?,"தமிழ்த்தாத்தா, மகாமகோபாத்தியாய (Tamizhtatha, Mahamakhopaathiyaay)"
What are the epithets of Bharathiyar?,பாரதியாரின் அடைமொழிகள் என்னென்ன?,"மகாகவி, தேசிய கவி, பாட்டுக்கொரு புலவன், சிந்துக்குத் தந்தை, விடு"
What is the epithet for கண்ணதாசன்?,கண்ணதாசனின் அடைமொழி என்ன?,"காரைமுத்து புலவர், வணங்காமுடி, பார்வதி நாதன், ஆரோக்கியசாமி, கமகப்பிரியன்"
What is the epithet for கல்கி?,கல்கியின் அடைமொழி என்ன?,தமிழ்நாட்டின் வால்டர் ஸ்காட்
What is the epithet for சுஜாதா?,சுஜாதாவின் அடைமொழி என்ன?,தமிழ்நாட்டின் ஹாட்லி சேஸ்
What is the epithet for கி.வா. ஜெகநாதன்?,கி.வா. ஜெகநாதனின் அடைமொழி என்ன?,தமிழறிஞர்
What is the epithet for அண்ணாதுரை?,அண்ணாதுரையின் அடைமொழி என்ன?,"பேரறிஞர், தென்னாட்டு பெர்னாட்ஷோ"
What is the epithet for வி.முனுசாமி?,வி.முனுசாமியின் அடைமொழி என்ன?,திருக்குறளார்
What is the epithet for பாலசுப்ரமணியம்?,பாலசுப்ரமணியத்தின் அடைமொழி என்ன?,சிற்பி
What is the epithet for நா. காமராசன்?,நா. காமராசனின் அடைமொழி என்ன?,வானம்பாடிக் கவிஞர்
What is the epithet for ஸ்ரீவேணுகோபாலன்?,ஸ்ரீவேணுகோபாலனின் அடைமொழி என்ன?,"புஷ்பா தங்கதுரை (This isn't an epithet, but a comparison)"
What is the epithet for ஆத்மாநாம்?,ஆத்மாநாமின் அடைமொழி என்ன?,எஸ்.கே.மதுசூதன்
What is the epithet for என்.எஸ்..கிருஷ்ணன்?,என்.எஸ்..கிருஷ்ணனின் அடைமொழி என்ன?,கலைவாணர்
What is the epithet for எம்.ஜி.ராமச்சந்திரன்?,எம்.ஜி.ராமச்சந்திரனின் அடைமொழி என்ன?,"மக்கள் திலகம், எம்.ஜி.ஆர், புரட்சி நடிகர், இதயக்கனி"
What is the epithet for மு. கருணாநிதி?,மு. கருணாநிதியின் அடைமொழி என்ன?,கலைஞர்
What is the epithet for எம்.ஆர்.ராதா?,எம்.ஆர்.ராதாவின் அடைமொழி என்ன?,நடிகவேள்
What is the epithet for எம்.எஸ்.சுப்புலட்சுமி?,எம்.எஸ்.சுப்புலட்சுமியின் அடைமொழி என்ன?,இசைக்குயில்
What is the epithet for செய்குத்தம்பி பாவலர்?,செய்குத்தம்பி பாவலரின் அடைமொழி என்ன?,கற்பனைக் களஞ்சியம்
What is the epithet for வேதரத்தினம் பிள்ளை?,வேதரத்தினம் பிள்ளையின் அடைமொழி என்ன?,"சர்தார் (This isn't an epithet, but a title)"
